250최고,250최고가대비율,250최고가일,250최저,250최저가대비율,250최저가일,BPS,EPS,EV,PBR,PER,ROE,거래대비,거래량,결산월,고가,기준가,당기순이익,대비기호,대용가,등락율,매출액,상장주식,상한가,시가,시가총액,시가총액비중,신용비율,액면가,액면가단위,연중최고,연중최저,영업이익,예상체결가,예상체결수량,외인소진률,자본금,저가,전일대비,종목명,종목코드,하한가,현재가
+4400,-11.14,20180323,-2405,+62.58,20170519,1060,0,,3.69,0.00,-13.5,+932.61,747042,12,+4390,3860,-23,2,2470,+1.30,143,15833,+5010,+3895,619,,+0.47,500,원,+4400,-2595,-5,-0,0,+1.68,79,-3845,+50,키다리스튜디오,020120,-2705,+3910
+122000,-4.92,20180420,-68500,+69.34,20170928,56278,8142,,2.06,14.25,17.4,+133.47,110963,12,+122000,117000,2416,5,88920,-0.85,5892,22100,+152000,117000,25636,,+0.13,5000,원,+122000,-85700,3158,-0,0,+20.20,1105,-115000,-1000,키움증권,039490,-82000,-116000
+1491000,-14.35,20180129,-878000,+45.44,20170420,2283683,16987,1.25,0.56,75.18,5.3,-75.39,959,12,+1293000,1276000,1792,2,944240,+0.08,29158,1113,+1658000,-1275000,14218,,0.00,5000,원,+1491000,-1150000,2412,-0,0,+10.24,56,-1246000,+1000,태광산업,003240,-894000,+1277000
+3040,-43.26,20170517,-1530,+12.75,20180404,2680,268,8.46,0.64,6.44,-3.9,-53.70,43932,12,+1740,1730,-42,5,1070,-0.29,4692,36700,+2245,-1700,633,,+4.02,500,원,+2045,-1530,100,-0,0,+3.05,184,-1700,-5,태양금속,004100,-1215,-1725
+40300,-27.05,20171123,-23000,+27.83,20171103,2152,2053,11.01,13.66,14.32,9.6,+444.67,208989,12,+29900,27200,77,2,19580,+8.09,1059,4718,+35350,+27250,1387,,+2.43,500,원,+33800,-23650,120,-0,0,+1.00,38,+27250,+2200,테이팩스,055490,-19050,+29400
+14250,-14.39,20170608,-10850,+12.44,20170926,7907,741,11.85,1.54,16.46,13.1,+230.91,75467,12,+12300,11850,394,2,8530,+2.95,10233,36728,+15400,11850,4481,,+0.19,500,원,+13950,-11250,417,-0,0,+5.49,184,11850,+350,팜스코,036580,-8300,+12200
+36100,-12.60,20180219,-30500,+3.44,20170413,32013,2445,7.14,0.99,12.90,5.9,+153.40,1195,12,+31650,31450,221,2,22640,+0.32,2895,11500,+40850,-31400,3628,,0.00,1000,원,+36100,-30500,230,-0,0,+25.79,143,-31300,+100,퍼시스,016800,-22050,+31550
+3050,-49.84,20170927,-280,+446.43,20170710,4444,0,,0.34,0.00,-115.2,+899.56,2777067,12,+1700,1430,-1030,2,970,+6.99,5565,54217,+1855,+1445,830,,0.00,500,원,+1920,-1225,-342,-0,0,+1.64,271,-1405,+100,페이퍼코리아,001020,-1005,+1530
+3720,-21.24,20180130,-1400,+109.29,20170818,1573,46,64.57,1.86,63.70,-12.5,-18.07,1144374,12,+3010,2990,-79,5,1850,-2.01,3245,37404,+3885,-2960,1096,,+0.95,500,원,+3720,-1430,-89,-0,0,+1.85,187,-2850,-60,평화산업,090080,-2095,-2930
+30900,-34.14,20180416,-2500,+714.00,20170926,2852,211,80.35,7.14,96.45,5.1,-57.27,6532258,12,+23000,21100,37,5,13500,-3.55,1120,42397,+27400,+21800,8628,,+1.90,500,원,+30900,-2925,84,-0,0,+0.77,213,-20350,-750,필룩스,033180,-14800,-20350
+3735,-49.40,20170825,-1410,+34.04,20170411,0,0,,0.00,0.00,,-44.85,59669,8,+1960,1885,,2,1130,+0.27,,3284,+2450,+1900,62,,0.00,0,원,+2810,-1780,,-0,0,+0.03,164,-1855,+5,하나니켈2호,099350,-1320,+1890
+12400,-22.98,20170609,-9210,+3.69,20180305,22441,1277,6.96,0.43,7.48,-2.8,-79.89,11098,12,-9560,9570,-76,5,7080,-0.21,18812,23207,+12400,-9550,2216,,+0.60,5000,원,+10700,-9210,1001,-0,0,+4.75,1160,-9510,-20,하이트진로홀딩스,000140,-6700,-9550
+3680,-13.59,20170814,-2915,+9.09,20170926,4725,270,7.27,0.67,11.78,10.1,+218.59,201691,12,+3210,3075,116,2,2270,+3.41,2704,22864,+3995,+3090,727,,+0.49,500,원,+3330,-2935,108,-0,0,+1.06,114,3075,+105,한국내화,010040,-2155,+3180
+77100,-34.11,20170915,-49700,+2.21,20180406,58993,6452,3.31,0.86,7.87,7.7,-79.75,20548,12,+50800,50300,498,2,37220,+0.99,7444,10415,+65300,50300,5291,,+0.11,500,원,+71500,-49700,661,-0,0,+24.05,52,-50200,+500,한국단자,025540,-35300,+50800
+7090,-14.67,20180420,-3650,+65.75,20180306,7329,122,5.82,0.83,49.59,12.8,+139.06,10336891,12,+7090,5730,466,2,4120,+5.58,19206,36495,+7440,+6030,2208,,+0.22,5000,원,+7090,-3650,1572,-0,0,+3.03,1825,+5850,+320,한라,014790,-4020,+6050
+1785,-6.16,20180306,-1335,+25.47,20170926,1846,98,11.88,0.91,17.09,2.4,-45.58,3006898,12,+1695,1640,36,2,1210,+2.13,2543,80565,+2130,+1655,1349,,+4.95,1000,원,+1785,-1395,95,-0,0,+5.32,838,-1620,+35,한솔홈데코,025750,-1150,+1675
+78400,-11.99,20180305,-40100,+72.07,20170925,47638,4568,11.73,1.45,15.11,11.2,+206.47,15351,12,+72500,66600,67,2,43950,+3.60,5279,1200,+86500,+66800,828,,+4.31,5000,원,+78400,-43700,101,-0,0,+8.02,60,-66200,+2400,한익스프레스,014130,-46700,+69000
+7470,-49.20,20170614,-3330,+13.96,20180413,14433,0,11.63,0.26,0.00,-33.6,+402.16,92186,12,+3800,3530,-1596,2,2470,+7.51,9067,29530,+4585,+3550,1121,,0.00,5000,원,+4290,-3330,243,-0,0,+1.29,1551,-3490,+265,한진중공업홀딩스,003480,-2475,+3795
+56300,-9.59,20180403,-22500,+126.22,20170926,40978,0,32.70,1.24,0.00,-4.4,-55.38,55194,12,+51400,50300,-107,2,35210,+1.19,3307,6000,+65300,50300,3054,,+1.90,5000,원,+56300,-36250,-73,-0,0,+1.40,300,-49800,+600,한화갤러리아타임월드,027390,-35300,+50900
+8160,-25.25,20171026,-5890,+3.57,20180410,9820,1058,,0.62,5.77,6.5,-88.70,861109,12,+6100,6050,6887,2,4710,+0.83,149501,868530,+7860,+6080,52980,,+0.09,5000,원,+7510,-5890,9534,-0,0,+18.67,43427,-6040,+50,한화생명,088350,-4240,+6100
+23200,-20.26,20170615,-14800,+25.00,20180214,16376,257,19.67,1.13,71.98,-3.5,-62.81,334147,12,+18750,18200,-463,2,13100,+1.65,27257,85000,+23650,+18700,15725,,+0.41,5000,원,+19500,-14800,454,-0,0,+26.12,4250,-18050,+300,현대로템,064350,-12750,+18500
+187500,-35.20,20170614,-96200,+26.30,20171227,177140,7407,16.54,0.69,16.40,18.2,-71.16,206900,12,+122500,120500,27033,2,84350,+0.83,154688,69165,+156500,120500,84036,,+0.28,5000,원,+158000,-100500,146,-0,0,+18.00,3458,-119000,+1000,현대중공업,009540,-84500,+121500
+131000,-3.44,20180417,-64300,+96.73,20171019,75175,28420,9.01,1.68,4.45,7.5,-43.76,34061,12,+127000,125000,1081,2,95000,+1.20,25303,12223,+162500,125000,15462,,+0.30,5000,원,+131000,-80900,2175,-0,0,+31.24,617,-123500,+1500,휠라코리아,081660,-87500,+126500
+34150,-21.82,20171204,-21100,+26.54,20170412,8386,1849,8.89,3.18,14.44,15.3,-52.45,163527,12,+26900,26400,805,2,19530,+1.14,5013,61856,+34300,+26550,16515,,+0.31,500,원,+32550,-22500,1082,-0,0,+15.22,309,-26200,+300,GKL,114090,-18500,+26700
+77600,-21.78,20170801,-56700,+7.05,20170417,73540,8509,6.58,0.83,7.13,13.4,+194.01,238034,12,61400,61400,10919,5,46660,-1.14,162099,92915,+79800,-60900,56400,,+0.12,5000,원,+71500,-59300,20712,-0,0,+19.84,4646,-60200,-700,GS,078930,-43000,-60700
+57900,-40.59,20170511,-30200,+13.91,20180328,25842,3562,7.93,1.33,9.66,5.9,-76.06,96883,12,+34700,34650,1151,5,24940,-0.72,82666,77000,+45000,+34700,26488,,+0.19,1000,원,+43300,-30200,1657,-0,0,+20.97,770,-34000,-250,GS리테일,007070,-24300,-34400
+4850,-31.75,20170703,-2880,+14.93,20180116,3055,360,7.78,1.08,9.19,11.9,+1220.06,4703377,12,+3770,3090,110,2,2100,+7.12,1506,28427,+4015,+3230,941,,+2.25,500,원,+3770,-2880,156,-0,0,+1.10,142,+3205,+220,NI스틸,008260,-2165,+3310
+187000,-13.64,20180110,-78300,+106.26,20170425,133995,10151,8.03,1.21,15.91,7.2,-81.73,155228,12,+165000,164000,2326,5,121360,-1.52,36316,23849,+213000,164000,38517,,+1.31,5000,원,+187000,-135000,2844,-0,0,+31.30,1272,-160500,-2500,OCI,010060,-115000,-161500
+50600,-26.09,20171228,-28250,+32.39,20170418,37457,1162,8.86,1.00,32.19,7.7,-53.10,58955,12,+38000,37600,1363,5,27820,-0.53,26535,37535,+48850,-37350,14038,,+0.53,5000,원,+50400,-35550,1757,-0,0,+11.23,1877,-37150,-200,SKC,011790,-26350,-37400
+36650,-21.01,20170622,-25400,+13.98,20170925,13056,1686,30.62,2.22,17.17,23.1,-55.61,21886,12,+29000,28150,650,2,20830,+2.84,3308,16155,+36550,28150,4677,,+0.46,1000,원,+35200,-26700,237,-0,0,+1.99,162,-28100,+800,SK디앤디,210980,-19750,+28950
23850,0.00,20171215,-2385,+900.00,20170411,0,0,13.42,0.00,0.00,-232.2,0.00,0,12,0,23850,3344,3,0,0.00,18039,17862,+35800,0,4260,,0.00,2500,원,23850,23850,441,-0,0,0.00,447,0,0,STX,011810,-11950,23850
+39550,-27.31,20171214,-25750,+11.65,20180413,15203,2242,6.68,1.89,12.82,13.0,+300.97,1890896,12,+28950,27600,4375,2,20970,+4.17,16045,213941,+35850,+28000,61508,,+0.22,500,원,+33650,-25750,5309,-0,0,+28.29,1070,+28000,+1150,강원랜드,035250,-19350,+28750
+6900,-14.20,20171127,-3680,+60.87,20170811,4764,129,17.94,1.24,45.89,1.9,-48.12,367577,12,+6050,5960,48,5,4410,-0.67,3000,40396,+7740,-5910,2391,,+5.11,500,원,+6860,-5260,74,-0,0,+9.78,202,-5890,-40,경인양행,012610,-4180,-5920
+8280,-20.29,20170710,-5240,+25.95,20171116,994,0,6.43,6.64,0.00,11.5,-15.04,50148,12,+6730,6700,57,5,4690,-1.49,6631,21550,+8710,-6650,1422,,0.00,5000,원,+6740,-5270,563,-0,0,+0.25,1078,-6500,-100,고려개발,004200,-4690,-6600
+269000,-12.08,20170530,-210500,+12.35,20180308,333931,28471,6.11,0.71,8.31,8.6,+122.18,683,12,-237000,237500,478,5,171000,-0.42,2096,1600,+308500,-237000,3784,,+0.02,5000,원,+245000,-210500,563,-0,0,+13.51,80,-233000,-1000,광주신세계,037710,-166500,-236500
+8380,-20.29,20180406,-3300,+102.42,20170926,3743,44,29.12,1.78,151.82,1.6,-45.94,357856,12,+6770,6500,10,2,4160,+2.77,1233,18057,+8450,+6570,1206,,+6.13,1000,원,+8380,-5120,26,-0,0,+3.29,181,-6420,+180,국제약품,002720,-4550,+6680
+2790,-31.36,20170712,-1855,+3.23,20180406,2045,63,13.49,0.94,30.40,1.7,+121.73,188763,12,+1935,1930,14,5,1270,-0.78,920,36212,+2505,-1920,693,,+1.82,500,원,+2485,-1855,72,-0,0,+3.42,181,-1905,-15,남성,004270,-1355,-1915
+14450,-15.57,20170510,-11650,+4.72,20171220,11594,1713,5.36,1.05,7.12,9.9,-71.99,85724,12,+12300,12150,1254,2,9230,+0.41,19648,97668,+15750,-12100,11915,,+0.04,500,원,+12800,-11650,1854,-0,0,+13.39,508,-12100,+50,넥센타이어,002350,-8550,+12200
+12600,-31.83,20170912,-7950,+8.05,20180410,9567,561,3.19,0.90,15.31,7.2,+163.05,177940,12,+8650,8310,356,2,6140,+3.37,5121,48796,+10800,8310,4192,,+0.30,500,원,+10200,-7950,306,-0,0,+21.00,244,-8300,+280,대덕전자,008060,-5820,+8590
+4950,-17.88,20170516,-3780,+7.54,20180117,11615,209,-3.85,0.35,19.45,1.5,+164.27,3361,3,-4150,4155,22,5,2900,-2.17,416,10490,+5400,-4130,426,,+0.02,500,원,+4740,-3780,13,-0,0,+41.29,52,-4035,-90,대동전자,008110,-2910,-4065
+12650,-25.85,20170609,-8830,+6.23,20170926,13368,773,4.06,0.70,12.13,5.2,-94.87,28468,12,+9410,9350,594,2,6910,+0.32,33837,36213,+12150,9350,3397,,+1.11,1000,원,+10400,-9110,1145,-0,0,+5.49,362,-9300,+30,대상홀딩스,084690,-6550,+9380
+4030,-14.52,20180124,-1465,+135.15,20170413,743,54,28.47,4.64,63.80,7.9,-55.64,484485,12,+3520,3395,29,2,2170,+1.47,580,47646,+4410,3395,1641,,+6.97,500,원,+4030,-2640,30,-0,0,+1.42,238,-3370,+50,대우부품,009320,-2380,+3445
+227500,-16.48,20180112,-80000,+137.50,20170714,43110,2613,30.85,4.41,72.71,6.2,-61.10,76448,12,+192500,186000,354,2,137640,+2.15,9603,11587,+241500,-185000,22014,,+1.44,2500,원,+227500,-156500,390,-0,0,+5.68,290,-182000,+4000,대웅제약,069620,-130500,+190000
+2150,-5.12,20180419,-1030,+98.06,20171222,1135,28,39.94,1.80,72.86,0.9,-35.54,5919909,12,+2130,2050,16,5,1470,-0.49,5051,68107,+2665,+2120,1389,,+7.03,500,원,+2150,-1080,10,-0,0,+1.08,341,-1930,-10,대원전선,006340,-1435,-2040
+347000,-20.89,20180207,-230500,+19.09,20170518,197854,44062,5.26,1.39,6.23,15.5,-65.82,26484,12,+275500,273000,2145,2,212940,+0.55,17794,6500,+354500,-271000,17843,,+0.58,5000,원,+347000,-255000,2842,-0,0,+8.65,410,-271000,+1500,대한유화,006650,-191500,+274500
+15850,-35.65,20170703,-9120,+11.84,20180417,22842,656,7.15,0.45,15.55,0.2,-35.21,409796,12,+10250,10200,48,3,7540,0.00,60493,95433,+13250,10200,9734,,+0.87,5000,원,+12850,-9120,2413,-0,0,+30.43,5892,-9970,0,동국제강,001230,-7150,10200
+8140,-4.18,20180419,-6710,+16.24,20171207,9271,506,6.11,0.84,15.42,4.6,-35.99,11109,12,+8100,8020,59,5,5770,-2.74,1202,13618,+10400,+8070,1062,,+0.14,500,원,+8140,-6930,67,-0,0,+28.74,68,-7800,-220,동방아그로,007590,-5620,-7800
