250최고,250최고가대비율,250최고가일,250최저,250최저가대비율,250최저가일,BPS,EPS,EV,PBR,PER,ROE,거래대비,거래량,결산월,고가,기준가,당기순이익,대비기호,대용가,등락율,매출액,상장주식,상한가,시가,시가총액,시가총액비중,신용비율,액면가,액면가단위,연중최고,연중최저,영업이익,예상체결가,예상체결수량,외인소진률,자본금,저가,전일대비,종목명,종목코드,하한가,현재가
+37450,-11.35,20170814,-27400,+21.17,20180307,35743,2571,10.89,0.93,12.91,6.0,-64.85,44659,12,+33650,33100,539,2,24490,+0.30,12287,24630,+43000,33100,8177,,+0.15,500,원,+35800,-27400,550,-0,0,+18.55,123,-32900,+100,한섬,020000,-23200,+33200
+30500,-25.90,20171120,-21000,+7.62,20180326,11254,1175,12.29,2.01,19.23,9.3,+149.07,103988,12,+23000,22550,461,2,16680,+0.22,17113,40000,+29300,+22700,9040,,+1.10,500,원,+28900,-21000,565,-0,0,+7.01,200,-22350,+50,한세실업,105630,-15800,+22600
+85100,-16.92,20170510,-63900,+10.64,20180122,24998,5034,8.61,2.83,14.04,18.0,+163.13,75586,12,-71700,71800,581,5,54560,-1.53,5216,11295,+93300,-71500,7986,,+0.36,5000,원,+80500,-63900,792,-0,0,+16.09,565,-69900,-1100,한솔케미칼,014680,-50300,-70700
+19700,-38.07,20171127,-11500,+6.09,20180326,9241,0,7.32,1.32,0.00,9.0,+145.74,155306,12,+12250,12100,187,2,8950,+0.83,9353,22110,+15700,12100,2697,,+3.99,5000,원,+17050,-11500,305,-0,0,+11.29,1105,-11850,+100,한솔테크닉스,004710,-8500,+12200
+1240,-8.06,20170608,-923,+23.51,20180116,984,271,3.84,1.16,4.21,18.3,+101.77,1736110,12,+1175,1110,118,2,790,+2.70,2009,59667,+1440,1110,680,,+1.96,500,원,+1175,-923,175,-0,0,+3.86,298,-1105,+30,한창제지,009460,-780,+1140
+289500,-14.34,20170526,-212000,+16.98,20170419,292708,32091,6.61,0.85,7.73,5.4,-64.25,163901,12,+249500,246500,15577,2,187340,+0.61,351446,97344,+320000,+248000,241413,,+0.05,5000,원,+276500,-214500,20249,-0,0,+47.80,4910,-243000,+1500,현대모비스,012330,-173000,+248000
+173000,-7.51,20170523,-133000,+20.30,20170908,235358,20118,9.60,0.68,7.95,5.9,-39.64,351811,12,+160500,158000,45464,2,123240,+1.27,963761,220276,+205000,+159000,352442,,+0.05,5000,원,+167500,-142500,45747,-0,0,+46.61,11580,-157000,+2000,현대차,005380,-111000,+160000
+16700,-12.57,20170526,-13450,+8.55,20180409,20595,706,8.25,0.71,20.68,6.6,+571.60,77600,12,+14900,14450,120,2,10400,+1.04,1452,9101,+18750,14450,1329,,+1.57,5000,원,+15800,-13450,87,-0,0,+3.78,455,-14300,+150,현대코퍼레이션홀딩스,227840,-10150,+14600
+29850,-27.30,20180123,-14000,+55.00,20170811,7140,1560,9.47,3.04,13.91,18.4,-87.95,37642,12,+22450,22100,416,5,15910,-1.81,7682,30268,+28700,+22450,6568,,+0.33,500,원,+29850,-18850,585,-0,0,+7.83,151,-21250,-400,화승엔터프라이즈,241590,-15500,-21700
+3200,-5.00,20180321,-1990,+52.76,20171020,3168,25,13.32,0.96,121.60,1.1,+455.91,710871,12,+3140,2890,11,2,2020,+5.19,1274,29550,+3755,+2910,898,,+2.09,500,원,+3200,-2030,47,-0,0,+2.96,161,+2900,+150,화인베스틸,133820,-2025,+3040
